nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Gare de Charbonnières-les-Bains,CHARBONNIERES-LES-BAINS,RFF,SNCF,Avenue de la Victoire,Avenue Lamartine,Existant,P+R Gare,En surface,0,2.0,106,0,8,0,3,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,2,182,pvo_patrimoine_voirie.pvoparking.182,4.736448,45.781812999057166
Halte Ferroviaire Les Flachères,CHARBONNIERES-LES-BAINS,RFF,SNCF,Ch. de la Halte des Flachères,Ch. de la Halte des Flachères,Existant,P+R Gare,En surface,0,2.0,10,0,4,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,355,pvo_patrimoine_voirie.pvoparking.355,4.753709,45.77723699905716
Gare de Collonges-Fontaines,COLLONGES-AU-MONT-D'OR,RFF,SNCF,Rue Pierre Pays,Rue Pierre Pays,Existant,P+R Gare,En surface,0,2.0,81,0,4,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,134,pvo_patrimoine_voirie.pvoparking.134,4.846323,45.829529999057215
Gare de Couzon-au-Mont-d'Or,COUZON-AU-MONT-D'OR,RFF,SNCF,Rue Aristide Briand,Rue Aristide Briand,Existant,P+R Gare,En surface,0,2.0,7,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,132,pvo_patrimoine_voirie.pvoparking.132,4.829675,45.84885599905723
Halte Ferroviaire de Dardilly-le-Jubin,DARDILLY,REGION,SNCF,Chemin du Dodin,Chemin du Dodin,Existant,P+R Gare,En surface,0,2.0,86,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,345,pvo_patrimoine_voirie.pvoparking.345,4.761609,45.8172259990572
Halte Ferroviaire de Dardilly-les-Mouilles,DARDILLY,REGION,SNCF,Route d'Ecully,Route d'Ecully,Existant,P+R Gare,En surface,0,2.0,12,0,8,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,136,pvo_patrimoine_voirie.pvoparking.136,4.760129,45.797293999057175
Gare de Feyzin,FEYZIN,GRAND LYON,SNCF,Rue Hector Berlioz,Rue Hector Berlioz,Existant,P+R Gare,En surface,0,2.0,32,0,4,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,723,pvo_patrimoine_voirie.pvoparking.723,4.852126,45.66592699905706
Gare de Quincieux,QUINCIEUX,GRAND LYON,SNCF,Chemin de la Halte,Chemin de la Halte,Existant,P+R Gare,En surface,0,2.0,46,0,0,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,951,pvo_patrimoine_voirie.pvoparking.951,4.778214,45.9073549990573
Gare de Givors Ville,GIVORS,RFF,SNCF,Esplanade A. de St Exupéry,Esplanade A. de St Exupéry,Existant,P+R Gare,En surface,0,2.0,188,0,0,0,7,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,217,pvo_patrimoine_voirie.pvoparking.217,4.766347,45.584799999057
Gare de Givors Canal,GIVORS,RFF,SNCF,Avenue du 11 Novembre 1918,Avenue du 11 Novembre 1918,Existant,P+R Gare,En surface,0,2.0,50,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,519,pvo_patrimoine_voirie.pvoparking.519,4.771567,45.59516399905699
Gare de Grigny le Sablon,GRIGNY,COMMUNE,SNCF,Rue Caraca,Rue Caraca,Existant,P+R Gare,En surface,0,1.8,66,0,8,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,222,pvo_patrimoine_voirie.pvoparking.222,4.795424,45.607181999057
Halte Ferroviaire de La Tour-de-Salvagny,LA TOUR-DE-SALVAGNY,RFF,SNCF,Rue de la Gare,Rue de la Gare,Existant,P+R Gare,En surface,0,2.0,40,0,8,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,135,pvo_patrimoine_voirie.pvoparking.135,4.71682,45.79973899905717
Gare d'Oullins,OULLINS,RFF,SNCF,Place Valmy,Place Valmy,Existant,P+R Gare,En surface,0,2.0,170,0,4,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,161,pvo_patrimoine_voirie.pvoparking.161,4.812882,45.717424999057094
Halte Ferroviaire de Pierre-Bénite,PIERRE-BENITE,RFF,SNCF,Rue Stalingrad,Rue Stalingrad,Existant,P+R Gare,En surface,0,2.0,50,0,4,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,547,pvo_patrimoine_voirie.pvoparking.547,4.824331,45.70635299905709
Gare de Crépieux-la-Pape,RILLIEUX-LA-PAPE,RFF,SNCF,Chemin des Iles,Chemin des Iles,Existant,P+R Gare,En surface,0,2.0,12,0,4,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,137,pvo_patrimoine_voirie.pvoparking.137,4.892412,45.803962999057184
Gare de Saint-Fons,SAINT-FONS,GRAND LYON,GRAND LYON,Avenue Diderot,Avenue Diderot,Existant,P+R Gare,En surface,0,2.5,170,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,935,pvo_patrimoine_voirie.pvoparking.935,4.852932,45.7053329990571
Gare de Saint-Germain-au-Mont-d'Or,SAINT-GERMAIN-AU-MONT-D'OR,GRAND LYON,SNCF,Rue Vincenot,Rue Vincenot,Existant,P+R Gare,En surface,0,2.0,83,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,354,pvo_patrimoine_voirie.pvoparking.354,4.80377,45.88776299905727
Gare de Saint-Priest,SAINT-PRIEST,GRAND LYON,SNCF,Avenue de la Gare,Avenue de la Gare,Existant,P+R Gare,En surface,0,2.0,25,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,546,pvo_patrimoine_voirie.pvoparking.546,4.934052,45.68701999905708
Gare de Sathonay-Rillieux,SATHONAY-CAMP,RFF,SNCF,Avenue Carnot,Avenue Carnot,Existant,P+R Gare,En surface,0,2.0,110,0,8,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,504,pvo_patrimoine_voirie.pvoparking.504,4.874952,45.820247999057194
Gare de Tassin,TASSIN-LA-DEMI-LUNE,RFF,SNCF,Allée des Tilleuls,Allée des Tilleuls,Existant,P+R Gare,En surface,0,2.0,60,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,55,pvo_patrimoine_voirie.pvoparking.55,4.759785,45.76144499905714
Gare d'Ecully-la-Demi-Lune,TASSIN-LA-DEMI-LUNE,RFF,SNCF,Place de la Gare,Place de la Gare,Existant,P+R Gare,En surface,0,2.0,112,0,12,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,60,pvo_patrimoine_voirie.pvoparking.60,4.77933,45.765554999057144
Gare de Vernaison,VERNAISON,RFF,SNCF,Rue de la Gare,Rue de la Gare,Existant,P+R Gare,En surface,0,2.0,31,0,4,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,333,pvo_patrimoine_voirie.pvoparking.333,4.813096,45.64561899905705
Gare de Feyzin,FEYZIN,GRAND LYON,SNCF,Rue du Dauphiné,Rue du Dauphiné,Existant,P+R Gare,En surface,0,2.0,58,0,8,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,239,pvo_patrimoine_voirie.pvoparking.239,4.853125,45.66506599905706
